genename	mutatedSamplesFrc
Polr2b	0.0952380952380952
Tex26	0.0952380952380952
Tnpo1	0.0952380952380952
Lamb3	0.0952380952380952
Iftap	0.0952380952380952
Cpne9	0.0952380952380952
Dmd	0.0476190476190476
Mark3	0.0476190476190476
Nlgn3	0.0476190476190476
Hnrnpul1	0.0476190476190476
Pip5k1b	0.0476190476190476
Atad2	0.0476190476190476
Ecel1	0.0476190476190476
Sik1	0.0476190476190476
Tmod2	0.0476190476190476
Aspm	0.0476190476190476
Clasp2	0.0476190476190476
Col8a1	0.0476190476190476
Dnah9	0.0476190476190476
Il13ra2	0.0476190476190476
Pnldc1	0.0476190476190476
Abca16	0.0476190476190476
Camkmt	0.0476190476190476
Hunk	0.0476190476190476
Ms4a19	0.0476190476190476
Nsd3	0.0476190476190476
Rcan2	0.0476190476190476
Robo1	0.0476190476190476
Slc37a1	0.0476190476190476
Tmprss11b	0.0476190476190476
Dennd5b	0.0476190476190476
Gpc4	0.0476190476190476
Dnah6	0.0476190476190476
Extl2	0.0476190476190476
Frem1	0.0476190476190476
Pde6c	0.0476190476190476
Ptprc	0.0476190476190476
Tmem106c	0.0476190476190476
Itgam	0.0476190476190476
Selenoi	0.0476190476190476
Stra6	0.0476190476190476
Fryl	0.0476190476190476
Mlc1	0.0476190476190476
Smarcad1	0.0476190476190476
Acaca	0.0476190476190476
App	0.0476190476190476
Kmt5b	0.0476190476190476
Tex14	0.0476190476190476
Xpo1	0.0476190476190476
Arhgap10	0.0476190476190476
